City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
324,Kokkola,FI,63.8385,23.1307,58.93,96,0,2.3,clear sky
325,Voi,KE,-3.3945,38.563,66.15,84,21,10.36,few clouds
326,Marovoay,MG,-16.1,46.6333,66.45,65,0,7.96,clear sky
327,Ribnitz-Damgarten,DE,54.25,12.4667,61.09,100,46,9.06,scattered clouds
328,Boa Vista,BR,2.8197,-60.6733,80.58,78,40,3.44,scattered clouds
329,Eenhana,NA,-17.4667,16.3333,56.48,39,0,6.51,clear sky
330,Marystown,CA,47.1666,-55.1483,62.85,100,0,10.0,clear sky
331,Progreso,MX,21.2833,-89.6667,94.1,64,44,11.32,scattered clouds
332,Berbera,SO,10.4396,45.0143,88.39,38,66,31.16,broken clouds
333,Wasilla,US,61.5814,-149.4394,68.94,63,75,3.44,broken clouds
334,Sobolevo,RU,54.4299,31.8996,58.66,96,100,5.73,light rain
335,Puerto Leguizamo,CO,-0.1934,-74.7819,73.29,92,97,1.9,overcast clouds
336,Christchurch,NZ,-43.5333,172.6333,38.32,93,100,2.3,overcast clouds
337,Bambanglipuro,ID,-7.95,110.2833,72.79,91,36,3.09,scattered clouds
338,Mount Gambier,AU,-37.8333,140.7667,47.26,62,100,11.07,overcast clouds
339,Kruisfontein,ZA,-34.0033,24.7314,51.89,87,64,10.29,broken clouds
340,Alice Springs,AU,-23.7,133.8833,26.15,80,0,0.0,clear sky
341,Nagato,JP,34.3833,131.2,77.59,85,95,4.85,overcast clouds
342,Kholm,RU,59.2667,32.85,57.61,99,66,3.31,broken clouds
343,Deulgaon Raja,IN,20.0167,76.0333,71.82,90,100,15.77,overcast clouds
344,Mount Isa,AU,-20.7333,139.5,42.57,65,0,5.75,clear sky
345,Sfantu Gheorghe,RO,45.8667,25.7833,54.27,87,52,2.95,broken clouds
346,Marzuq,YE,14.4,46.4667,76.46,39,100,3.49,overcast clouds
